MES,AC,OPC,NPC
HILPDA,CST3,BCAN,DLL3
ADM,S100B,PLP1,DLL1
DDIT3,SLC1A3,GPR17,SOX4
NDRG1,HEPN1,FIBIN,TUBB3
HERPUD1,HOPX,LHFPL3,HES6
DNAJB9,MT3,OLIG1,TAGLN3
TRIB3,SPARCL1,PSAT1,NEU4
ENO2,MLC1,SCRG1,MARCKSL1
AKAP12,GFAP,OMG,CD24
SQSTM1,FABP7,APOD,STMN1
MT1X,BCAN,SIRT2,TCF12
ATF3,PON2,TNR,BEX1
NAMPT,METTL7B,THY1,OLIG1
NRN1,SPARC,PHYHIPL,MAP2
SLC2A1,GATM,SOX2-OT,FXYD6
BNIP3,RAMP1,NKAIN4,PTPRS
LGALS3,PMP2,LPPR1,MLLT11
INSIG2,AQP4,PTPRZ1,NPPA
IGFBP3,DBI,VCAN,BCAN
PPP1R15A,EDNRB,DBI,MEST
VIM,PTPRZ1,PMP2,ASCL1
PLOD2,CLU,CNP,BTG2
GBE1,PMP22,TNS3,DCX
SLC2A3,ATP1A2,LIMA1,NXPH1
FTL,S100A16,CA10,HN1
WARS,HEY1,PCDHGC3,PFN2
ERO1L,PCDHGC3,CNTN1,SCG3
XPOT,TTYH1,SCD5,MYT1
HSPA5,NDRG2,P2RX7,CHD7
GDF15,PRCP,CADM2,GPR56
ANXA2,ATP1B2,TTYH1,TUBA1A
EPAS1,AGT,FGF12,PCBP4
LDHA,PLTP,TMEM206,ETV1
P4HA1,GPM6B,NEU4,SHD
SERTAD1,F3,FXYD6,TNR
PFKP,RAB31,RNF13,AMOTL2
PGK1,PPAP2B,RTKN,DBN1
EGLN3,ANXA5,GPM6B,HIP1
SLC6A6,TSPAN7,LMF1,ABAT
CA9,,ALCAM,ELAVL4
BNIP3L,,PGRMC1,LMF1
RPL21,,HRASLS,GRIK2
TRAM1,,BCAS1,SERINC5
UFM1,,RAB31,TSPAN13
ASNS,,PLLP,ELMO1
GOLT1B,,FABP5,GLCCI1
ANGPTL4,,NLGN3,SEZ6L
SLC39A14,,SERINC5,LRRN1
CDKN1A,,EPB41L2,SEZ6
HSPA9,,GPR37L1,SOX11
CHI3L1,,,STMN2
ANXA2,,,CD24
ANXA1,,,RND3
CD44,,,HMP19
VIM,,,TUBB3
MT2A,,,MIAT
C1S,,,DCX
NAMPT,,,NSG1
EFEMP1,,,ELAVL4
C1R,,,MLLT11
SOD2,,,DLX6-AS1
IFITM3,,,SOX11
TIMP1,,,NREP
SPP1,,,FNBP1L
A2M,,,TAGLN3
S100A11,,,STMN4
MT1X,,,DLX5
S100A10,,,SOX4
FN1,,,MAP1B
LGALS1,,,RBFOX2
S100A16,,,IGFBPL1
CLIC1,,,STMN1
MGST1,,,HN1
RCAN1,,,TMEM161B-AS1
TAGLN2,,,DPYSL3
NPC2,,,SEPT3
SERPING1,,,PKIA
C8orf4,,,ATP1B1
EMP1,,,DYNC1I1
APOE,,,CD200
CTSB,,,SNAP25
C3,,,PAK3
LGALS3,,,NDRG4
MT1E,,,KIF5A
EMP3,,,UCHL1
SERPINA3,,,ENO2
ACTN1,,,KIF5C
PRDX6,,,DDAH2
IGFBP7,,,TUBB2A
SERPINE1,,,LBH
PLP2,,,LOC150568
MGP,,,TCF4
CLIC4,,,GNG3
GFPT2,,,NFIB
GSN,,,DPYSL5
NNMT,,,CRABP1
TUBA1C,,,DBN1
GJA1,,,NFIX
TNFRSF1A,,,CEP170
WWTR1,,,BLCAP
